County,Rep_total,Dem_total
MARTIN,"1,455",266
MASON,"1,656",354
MATAGORDA,"8,366","3,500"
MAVERICK,"2,816","10,397"
MCCULLOCH,"2,552",482
MCLENNAN,"48,260","27,063"
MCMULLEN,454,40
MEDINA,"12,085","4,634"
MENARD,682,154
MIDLAND,"36,973","10,025"
MILAM,"6,364","2,051"
MILLS,"1,951",243
MITCHELL,"1,780",354
MONTAGUE,"7,526",885
MONTGOMERY,"150,314","45,835"
MOORE,"3,977","1,098"
MORRIS,"3,446","1,425"
MOTLEY,566,40
NACOGDOCHES,"14,771","6,846"
NAVARRO,"11,994","4,002"
NEWTON,"4,288","1,156"
NOLAN,"3,552","1,029"
NUECES,"50,766","49,198"
OCHILTREE,"2,628",274
OLDHAM,850,78
ORANGE,"25,513","5,735"
PALO PINTO,"8,284","1,708"
PANOLA,"8,445","1,835"
PARKER,"46,473","8,344"
PARMER,"1,915",485
PECOS,"2,468","1,554"
POLK,"15,176","4,187"
POTTER,"19,630","7,657"
PRESIDIO,652,"1,458"
RAINS,"3,968",628
RANDALL,"43,462","8,367"
REAGAN,709,167
REAL,"1,382",262
RED RIVER,"3,926","1,149"
REEVES,"1,417","1,659"
REFUGIO,"1,830","1,034"
ROBERTS,524,20
ROBERTSON,"4,668","2,203"
ROCKWALL,"28,451","9,655"
RUNNELS,"3,250",453
RUSK,"14,675","3,935"
SABINE,"3,998",614
SAN AUGUSTINE,"2,622",910
SAN JACINTO,"8,059","2,038"
SAN PATRICIO,"13,030","7,871"
SAN SABA,"2,025",293
SCHLEICHER,821,208
SCURRY,"4,410",733
SHACKELFORD,"1,378",103
SHELBY,"7,179","1,758"
SHERMAN,807,96
SMITH,"58,930","22,300"
SOMERVELL,"3,206",541
STARR,"2,224","9,289"
STEPHENS,"3,034",348
STERLING,549,70
STONEWALL,555,135
SUTTON,"1,075",313
SWISHER,"1,671",462
TARRANT,"345,921","288,392"
TAYLOR,"33,250","10,085"
TERRELL,288,140
TERRY,"2,459",753
THROCKMORTON,715,84
TITUS,"6,511","2,597"
TOM GREEN,"27,494","9,173"
TRAVIS,"127,209","308,260"
TRINITY,"4,737","1,154"
TYLER,"6,624","1,248"
UPSHUR,"13,209","2,380"
UPTON,"1,007",286
UVALDE,"4,835","3,867"
VAL VERDE,"5,890","6,964"
VAN ZANDT,"18,473","2,799"
VICTORIA,"21,275","8,866"
WALKER,"12,884","6,091"
WALLER,"10,531","5,748"
WARD,"2,547",783
WASHINGTON,"10,945","3,382"
WEBB,"12,947","42,307"
WHARTON,"10,149","4,238"
WHEELER,"2,087",194
WICHITA,"27,631","8,770"
WILBARGER,"3,166",809
WILLACY,"1,547","3,422"
WILLIAMSON,"104,175","84,468"
WILSON,"13,998","4,790"
WINKLER,"1,403",420
WISE,"20,670","3,412"
WOOD,"15,700","2,630"
YOAKUM,"1,797",426
YOUNG,"6,601",876
ZAPATA,"1,029","2,063"
ZAVALA,694,"2,636"
