,Dem_Total,Rep_Total,Total_votes
LAMPASAS,"1,479","5,621","7,204"
LASALLE,965,669,"1,646"
LAVACA,"1,428","6,796","8,294"
LEE,"1,632","4,507","6,221"
LEON,"1,062","5,814","6,945"
LIBERTY,"5,202","17,323","22,746"
LIMESTONE,"2,208","5,288","7,563"
LIPSCOMB,119,"1,044","1,168"
LIVE OAK,919,"3,154","4,113"
LLANO,"1,822","7,610","9,558"
LOVING,9,54,6400.00%
LUBBOCK,"26,271","63,469","91,184"
LYNN,506,"1,439","1,959"
MADISON,967,"3,028","4,028"
MARION,"1,495","2,733","4,282"
MARTIN,248,"1,368","1,624"
MASON,380,"1,565","1,968"
MATAGORDA,"3,980","8,040","12,133"
MAVERICK,"8,303","2,171","10,563"
MCCULLOCH,537,"2,419","2,993"
MCLENNAN,"25,694","47,903","74,541"
MCMULLEN,67,431,50300.00%
MEDINA,"4,784","11,079","16,049"
MENARD,171,665,849
MIDLAND,"8,286","35,689","44,597"
MILAM,"2,636","5,481","8,230"
MILLS,279,"1,882","2,201"
MITCHELL,538,"1,756","2,316"
MONTAGUE,"1,116","6,549","7,751"
MONTGOMERY,"32,920","137,969","173,113"
MOORE,964,"3,968","4,985"
MORRIS,"1,858","3,232","5,139"
MOTLEY,55,538,60000.00%
NACOGDOCHES,"6,465","13,925","20,653"
NAVARRO,"4,350","10,847","15,364"
NEWTON,"1,677","4,112","5,869"
NOLAN,"1,216","3,282","4,575"
NUECES,"45,772","48,966","96,104"
OCHILTREE,253,"2,719","2,993"
OLDHAM,71,790,869
ORANGE,"6,800","23,366","30,518"
PALO PINTO,"1,811","7,393","9,337"
PANOLA,"2,211","7,950","10,230"
PARKER,"7,853","39,243","47,694"
PARMER,529,"2,011","2,554"
PECOS,"1,591","2,512","4,150"
POLK,"4,859","14,071","19,134"
POTTER,"7,126","18,918","26,450"
PRESIDIO,"1,282",504,"1,817"
RAINS,761,"3,279","4,087"
RANDALL,"7,574","41,447","49,696"
REAGAN,158,676,843
REAL,277,"1,236","1,535"
RED RIVER,"1,482","3,549","5,074"
REEVES,"1,655","1,188","2,877"
REFUGIO,998,"1,663","2,677"
ROBERTS,33,468,50800.00%
ROBERTSON,"2,798","4,419","7,287"
ROCKWALL,"8,120","27,113","35,678"
RUNNELS,519,"3,104","3,668"
RUSK,"4,451","13,924","18,546"
SABINE,807,"3,727","4,578"
SAN AUGUSTINE,"1,193","2,469","3,690"
SAN JACINTO,"2,410","7,107","9,616"
SAN PATRICIO,"7,856","12,005","20,078"
SAN SABA,323,"1,905","2,259"
SCHLEICHER,221,787,"1,017"
SCURRY,838,"4,124","5,027"
SHACKELFORD,131,"1,218","1,363"
SHELBY,"2,322","6,879","9,284"
SHERMAN,121,908,"1,038"
SMITH,"21,456","57,331","79,601"
SOMERVELL,613,"2,871","3,538"
STARR,"10,260","1,547","11,883"
STEPHENS,475,"2,892","3,412"
STERLING,31,459,49400.00%
STONEWALL,160,507,675
SUTTON,369,"1,110","1,489"
SWISHER,579,"1,655","2,270"
TARRANT,"253,071","348,920","610,890"
TAYLOR,"9,750","32,904","43,263"
TERRELL,184,358,55500.00%
TERRY,"1,059","2,602","3,709"
THROCKMORTON,109,700,813
TITUS,"2,648","6,084","8,854"
TOM GREEN,"9,294","26,878","36,720"
TRAVIS,"232,788","140,152","387,057"
TRINITY,"1,614","4,537","6,235"
TYLER,"1,668","5,910","7,654"
UPSHUR,"2,971","12,015","15,138"
UPTON,333,953,"1,300"
UVALDE,"3,825","4,529","8,435"
VAL VERDE,"6,285","5,635","12,081"
VAN ZANDT,"3,084","15,794","19,100"
VICTORIA,"8,802","19,692","28,853"
WALKER,"6,252","12,140","18,685"
WALLER,"6,514","9,244","15,902"
WARD,841,"2,366","3,245"
WASHINGTON,"3,381","10,857","14,397"
WEBB,"37,597","11,078","49,110"
WHARTON,"4,235","9,750","14,087"
WHEELER,232,"1,878","2,128"
WICHITA,"10,525","29,812","41,018"
WILBARGER,971,"2,956","3,980"
WILLACY,"3,600","1,416","5,064"
WILLIAMSON,"61,875","97,006","163,271"
WILSON,"4,821","12,218","17,205"
WINKLER,398,"1,311","1,725"
WISE,"3,221","17,207","20,745"
WOOD,"3,056","14,351","17,581"
YOAKUM,409,"1,698","2,128"
YOUNG,992,"6,225","7,316"
ZAPATA,"2,527",997,"3,543"
ZAVALA,"3,042",574,"3,653"
